instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time,season_name,weather_type,temp_type,wind_type,hum_type
96,2011-01-05,1,0,1,4,0,3,1,1,9.84,11.365,48.0,15.001299999999999,0,2,2,morning,spring,clear,cold,moderate,dry
97,2011-01-05,1,0,1,5,0,3,1,1,9.02,11.365,47.0,11.0014,0,3,3,morning,spring,clear,cold,weak,dry
98,2011-01-05,1,0,1,6,0,3,1,1,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,morning,spring,clear,cold,moderate,dry
99,2011-01-05,1,0,1,7,0,3,1,1,7.38,9.09,43.0,12.998000000000001,1,87,88,morning,spring,clear,cold,moderate,dry
100,2011-01-05,1,0,1,8,0,3,1,1,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,morning,spring,clear,cold,moderate,dry
101,2011-01-05,1,0,1,9,0,3,1,1,9.02,9.85,37.0,22.0028,6,109,115,morning,spring,clear,cold,moderate,dry
102,2011-01-05,1,0,1,10,0,3,1,1,9.02,9.85,37.0,22.0028,4,53,57,morning,spring,clear,cold,moderate,dry
103,2011-01-05,1,0,1,11,0,3,1,1,10.66,11.365,33.0,22.0028,12,34,46,noon,spring,clear,cold,moderate,dry
104,2011-01-05,1,0,1,12,0,3,1,1,10.66,11.365,33.0,22.0028,5,74,79,noon,spring,clear,cold,moderate,dry
105,2011-01-05,1,0,1,13,0,3,1,1,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,noon,spring,clear,cold,moderate,dry
106,2011-01-05,1,0,1,14,0,3,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,noon,spring,clear,cold,moderate,very dry
107,2011-01-05,1,0,1,15,0,3,1,1,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,afternoon,spring,clear,cold,moderate,very dry
108,2011-01-05,1,0,1,16,0,3,1,1,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,afternoon,spring,clear,cold,weak,very dry
109,2011-01-05,1,0,1,17,0,3,1,1,9.84,11.365,38.0,12.998000000000001,4,186,190,afternoon,spring,clear,cold,moderate,dry
110,2011-01-05,1,0,1,18,0,3,1,1,9.84,12.120000000000001,38.0,8.9981,3,166,169,afternoon,spring,clear,cold,weak,dry
111,2011-01-05,1,0,1,19,0,3,1,1,9.84,12.879999999999999,38.0,7.0015,5,127,132,night,spring,clear,cold,weak,dry
112,2011-01-05,1,0,1,20,0,3,1,1,9.02,11.365,47.0,11.0014,7,82,89,night,spring,clear,cold,weak,dry
113,2011-01-05,1,0,1,21,0,3,1,1,8.200000000000001,9.85,51.0,12.998000000000001,3,40,43,night,spring,clear,cold,moderate,dry
114,2011-01-05,1,0,1,22,0,3,1,1,7.38,9.85,55.00000000000001,8.9981,1,41,42,night,spring,clear,cold,weak,dry
115,2011-01-05,1,0,1,23,0,3,1,1,8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,night,spring,clear,cold,weak,dry
116,2011-01-06,1,0,1,0,0,4,1,1,7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,night,spring,clear,cold,weak,dry
117,2011-01-06,1,0,1,1,0,4,1,1,6.5600000000000005,11.365,64.0,0.0,0,4,4,night,spring,clear,cold,weak,optimal
118,2011-01-06,1,0,1,2,0,4,1,1,6.5600000000000005,11.365,64.0,0.0,0,2,2,night,spring,clear,cold,weak,optimal
119,2011-01-06,1,0,1,4,0,4,1,2,6.5600000000000005,9.85,64.0,6.0032,0,1,1,morning,spring,mist,cold,weak,optimal
120,2011-01-06,1,0,1,5,0,4,1,2,5.74,9.09,69.0,6.0032,0,4,4,morning,spring,mist,cold,weak,optimal
121,2011-01-06,1,0,1,6,0,4,1,2,5.74,8.334999999999999,63.0,7.0015,0,36,36,morning,spring,mist,cold,weak,optimal
122,2011-01-06,1,0,1,7,0,4,1,2,6.5600000000000005,11.365,59.0,0.0,0,95,95,morning,spring,mist,cold,weak,dry
123,2011-01-06,1,0,1,8,0,4,1,1,6.5600000000000005,11.365,59.0,0.0,3,216,219,morning,spring,clear,cold,weak,dry
124,2011-01-06,1,0,1,9,0,4,1,2,7.38,12.120000000000001,51.0,0.0,6,116,122,morning,spring,mist,cold,weak,dry
125,2011-01-06,1,0,1,10,0,4,1,1,8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,morning,spring,clear,cold,weak,dry
126,2011-01-06,1,0,1,11,0,4,1,1,9.02,12.879999999999999,44.0,6.0032,2,57,59,noon,spring,clear,cold,weak,dry
127,2011-01-06,1,0,1,12,0,4,1,1,10.66,14.395,35.0,0.0,6,78,84,noon,spring,clear,cold,weak,dry
128,2011-01-06,1,0,1,13,0,4,1,1,10.66,13.635,35.0,7.0015,12,55,67,noon,spring,clear,cold,weak,dry
129,2011-01-06,1,0,1,14,0,4,1,1,11.48,13.635,36.0,11.0014,11,59,70,noon,spring,clear,cold,weak,dry
130,2011-01-06,1,0,1,15,0,4,1,1,11.48,13.635,36.0,0.0,8,54,62,afternoon,spring,clear,cold,weak,dry
131,2011-01-06,1,0,1,16,0,4,1,1,10.66,12.879999999999999,38.0,11.0014,12,74,86,afternoon,spring,clear,cold,weak,dry
132,2011-01-06,1,0,1,17,0,4,1,1,9.02,11.365,51.0,11.0014,9,163,172,afternoon,spring,clear,cold,weak,dry
133,2011-01-06,1,0,1,18,0,4,1,1,9.02,11.365,51.0,8.9981,5,158,163,afternoon,spring,clear,cold,weak,dry
134,2011-01-06,1,0,1,19,0,4,1,1,9.02,12.879999999999999,55.00000000000001,6.0032,3,109,112,night,spring,clear,cold,weak,dry
135,2011-01-06,1,0,1,20,0,4,1,1,8.200000000000001,10.605,51.0,11.0014,3,66,69,night,spring,clear,cold,weak,dry
136,2011-01-06,1,0,1,21,0,4,1,2,9.02,10.605,55.00000000000001,15.001299999999999,0,48,48,night,spring,mist,cold,moderate,dry
137,2011-01-06,1,0,1,22,0,4,1,2,9.02,10.605,51.0,19.0012,1,51,52,night,spring,mist,cold,moderate,dry
138,2011-01-06,1,0,1,23,0,4,1,2,8.200000000000001,9.85,59.0,12.998000000000001,4,19,23,night,spring,mist,cold,moderate,dry
139,2011-01-07,1,0,1,0,0,5,1,2,8.200000000000001,9.85,64.0,12.998000000000001,4,13,17,night,spring,mist,cold,moderate,optimal
140,2011-01-07,1,0,1,1,0,5,1,2,8.200000000000001,9.85,69.0,15.001299999999999,2,5,7,night,spring,mist,cold,moderate,optimal
141,2011-01-07,1,0,1,2,0,5,1,2,8.200000000000001,9.85,69.0,15.001299999999999,0,1,1,night,spring,mist,cold,moderate,optimal
142,2011-01-07,1,0,1,4,0,5,1,2,8.200000000000001,10.605,69.0,8.9981,0,1,1,morning,spring,mist,cold,weak,optimal
143,2011-01-07,1,0,1,5,0,5,1,3,9.02,13.635,55.00000000000001,0.0,0,5,5,morning,spring,light rain/snow,cold,weak,dry
144,2011-01-07,1,0,1,6,0,5,1,2,8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,morning,spring,mist,cold,weak,optimal
145,2011-01-07,1,0,1,7,0,5,1,1,8.200000000000001,10.605,69.0,8.9981,8,76,84,morning,spring,clear,cold,weak,optimal
146,2011-01-07,1,0,1,8,0,5,1,1,8.200000000000001,9.85,51.0,16.997899999999998,20,190,210,morning,spring,clear,cold,moderate,dry
147,2011-01-07,1,0,1,9,0,5,1,1,8.200000000000001,9.09,47.0,19.999499999999998,9,125,134,morning,spring,clear,cold,moderate,dry
148,2011-01-07,1,0,1,10,0,5,1,1,9.02,9.85,37.0,22.0028,16,47,63,morning,spring,clear,cold,moderate,dry
149,2011-01-07,1,0,1,11,0,5,1,2,8.200000000000001,9.85,40.0,15.001299999999999,19,48,67,noon,spring,mist,cold,moderate,dry
150,2011-01-07,1,0,1,12,0,5,1,2,8.200000000000001,9.85,37.0,16.997899999999998,9,50,59,noon,spring,mist,cold,moderate,dry
151,2011-01-07,1,0,1,13,0,5,1,2,8.200000000000001,9.09,37.0,19.0012,9,64,73,noon,spring,mist,cold,moderate,dry
152,2011-01-07,1,0,1,14,0,5,1,2,8.200000000000001,9.85,40.0,16.997899999999998,7,43,50,noon,spring,mist,cold,moderate,dry
153,2011-01-07,1,0,1,15,0,5,1,2,8.200000000000001,10.605,37.0,11.0014,9,63,72,afternoon,spring,mist,cold,weak,dry
154,2011-01-07,1,0,1,16,0,5,1,2,8.200000000000001,10.605,37.0,11.0014,5,82,87,afternoon,spring,mist,cold,weak,dry
155,2011-01-07,1,0,1,17,0,5,1,2,8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,afternoon,spring,mist,cold,weak,dry
156,2011-01-07,1,0,1,18,0,5,1,1,8.200000000000001,11.365,40.0,6.0032,7,116,123,afternoon,spring,clear,cold,weak,dry
157,2011-01-07,1,0,1,19,0,5,1,1,6.5600000000000005,9.85,55.00000000000001,6.0032,3,92,95,night,spring,clear,cold,weak,dry
158,2011-01-07,1,0,1,20,0,5,1,1,7.38,10.605,47.0,7.0015,1,50,51,night,spring,clear,cold,weak,dry
159,2011-01-07,1,0,1,21,0,5,1,1,7.38,9.85,47.0,8.9981,0,39,39,night,spring,clear,cold,weak,dry
160,2011-01-07,1,0,1,22,0,5,1,2,7.38,9.85,43.0,11.0014,2,34,36,night,spring,mist,cold,weak,dry
161,2011-01-07,1,0,1,23,0,5,1,2,7.38,9.85,51.0,11.0014,1,14,15,night,spring,mist,cold,weak,dry
162,2011-01-08,1,0,1,0,0,6,0,2,7.38,9.85,51.0,11.0014,1,24,25,night,spring,mist,cold,weak,dry
163,2011-01-08,1,0,1,1,0,6,0,2,7.38,10.605,55.00000000000001,6.0032,1,15,16,night,spring,mist,cold,weak,dry
164,2011-01-08,1,0,1,2,0,6,0,2,7.38,12.120000000000001,55.00000000000001,0.0,3,13,16,night,spring,mist,cold,weak,dry
165,2011-01-08,1,0,1,3,0,6,0,3,7.38,9.85,55.00000000000001,11.0014,0,7,7,night,spring,light rain/snow,cold,weak,dry
166,2011-01-08,1,0,1,4,0,6,0,3,7.38,9.85,55.00000000000001,11.0014,0,1,1,morning,spring,light rain/snow,cold,weak,dry
167,2011-01-08,1,0,1,5,0,6,0,2,6.5600000000000005,8.334999999999999,74.0,11.0014,0,5,5,morning,spring,mist,cold,weak,optimal
168,2011-01-08,1,0,1,6,0,6,0,2,6.5600000000000005,8.334999999999999,74.0,11.0014,0,2,2,morning,spring,mist,cold,weak,optimal
169,2011-01-08,1,0,1,7,0,6,0,2,6.5600000000000005,9.09,74.0,7.0015,1,8,9,morning,spring,mist,cold,weak,optimal
170,2011-01-08,1,0,1,8,0,6,0,3,6.5600000000000005,9.09,93.0,7.0015,0,15,15,morning,spring,light rain/snow,cold,weak,very humid
171,2011-01-08,1,0,1,9,0,6,0,3,6.5600000000000005,9.09,93.0,7.0015,0,20,20,morning,spring,light rain/snow,cold,weak,very humid
172,2011-01-08,1,0,1,10,0,6,0,2,7.38,9.85,80.0,11.0014,5,56,61,morning,spring,mist,cold,weak,humid
173,2011-01-08,1,0,1,11,0,6,0,2,8.200000000000001,9.09,69.0,26.0027,2,60,62,noon,spring,mist,cold,moderate,optimal
174,2011-01-08,1,0,1,12,0,6,0,2,8.200000000000001,9.09,59.0,23.9994,8,90,98,noon,spring,mist,cold,moderate,dry
175,2011-01-08,1,0,1,13,0,6,0,1,8.200000000000001,9.09,44.0,22.0028,7,95,102,noon,spring,clear,cold,moderate,dry
176,2011-01-08,1,0,1,14,0,6,0,1,8.200000000000001,8.334999999999999,32.0,32.9975,12,83,95,noon,spring,clear,cold,strong,dry
177,2011-01-08,1,0,1,15,0,6,0,1,8.200000000000001,8.334999999999999,32.0,30.002599999999997,5,69,74,afternoon,spring,clear,cold,moderate,dry
178,2011-01-08,1,0,1,16,0,6,0,1,7.38,6.819999999999999,28.999999999999996,30.002599999999997,8,68,76,afternoon,spring,clear,cold,moderate,very dry
179,2011-01-08,1,0,1,17,0,6,0,1,6.5600000000000005,6.0600000000000005,37.0,36.9974,5,64,69,afternoon,spring,clear,cold,strong,dry
180,2011-01-08,1,0,1,18,0,6,0,1,5.74,6.0600000000000005,39.0,19.999499999999998,3,52,55,afternoon,spring,clear,cold,moderate,dry
181,2011-01-08,1,0,1,19,0,6,0,1,5.74,6.0600000000000005,36.0,16.997899999999998,4,26,30,night,spring,clear,cold,moderate,dry
182,2011-01-08,1,0,1,20,0,6,0,1,4.92,6.0600000000000005,36.0,16.997899999999998,0,28,28,night,spring,clear,cold,moderate,dry
183,2011-01-08,1,0,1,21,0,6,0,1,4.92,5.305,39.0,23.9994,2,35,37,night,spring,clear,cold,moderate,dry
184,2011-01-08,1,0,1,22,0,6,0,1,4.92,5.305,36.0,26.0027,1,33,34,night,spring,clear,cold,moderate,dry
185,2011-01-08,1,0,1,23,0,6,0,1,4.1000000000000005,3.0300000000000002,39.0,30.002599999999997,0,22,22,night,spring,clear,cold,moderate,dry
186,2011-01-09,1,0,1,0,0,0,0,1,4.1000000000000005,3.7900000000000005,42.0,26.0027,1,24,25,night,spring,clear,cold,moderate,dry
187,2011-01-09,1,0,1,1,0,0,0,1,4.1000000000000005,3.0300000000000002,42.0,31.0009,0,12,12,night,spring,clear,cold,strong,dry
188,2011-01-09,1,0,1,2,0,0,0,1,4.1000000000000005,3.0300000000000002,46.0,31.0009,0,11,11,night,spring,clear,cold,strong,dry
189,2011-01-09,1,0,1,3,0,0,0,1,4.1000000000000005,3.7900000000000005,46.0,27.999299999999998,0,4,4,night,spring,clear,cold,moderate,dry
190,2011-01-09,1,0,1,4,0,0,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,morning,spring,clear,cold,moderate,dry
191,2011-01-09,1,0,1,5,0,0,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,morning,spring,clear,cold,moderate,dry
192,2011-01-09,1,0,1,6,0,0,0,1,4.1000000000000005,4.545,49.0,19.0012,0,1,1,morning,spring,clear,cold,moderate,dry
193,2011-01-09,1,0,1,7,0,0,0,1,3.2800000000000002,4.545,53.0,12.998000000000001,1,5,6,morning,spring,clear,cold,moderate,dry
